objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
colkav1,https://github.com/chrkav/ArchivesCollection/blob/main/bronzeawardcertifcatestrp1226.png,,,Award Certificate - Bronze Award Blank Troop 1226,"Kavanagh, Christa",2023-09-13,A blank awards certificate for the Girl Scout Bronze Award designed for Orange County Troop 1226.,Awards; Junior Girl Scouts; Bronze,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC/1.0/
colkav2,https://github.com/chrkav/ArchivesCollection/blob/main/Bee.png,,,Bee image,"Kavanagh, Christa",2023-06-08,Digital art of a bee,Bee,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC/1.0/
colkav3,https://github.com/chrkav/ArchivesCollection/blob/main/Family%20Recipes%20Cookbook%20Starter.pdf,,,Family Recipes Cookbook Starter,"Kavanagh, Christa",2022-09-14,Cookbook compiled with family recipes,Cooking; Cookbook; Recipes,,,,,,,application/pdf,,,http://rightsstatements.org/vocab/InC/1.0/
colkav4,https://github.com/chrkav/ArchivesCollection/blob/main/firedemonsouthwindprogramcoveryppc.png,,,Program - Fire Demon and South Wind,"Kavanagh, Christa",2024-03-01,"Program cover for Fire Demon and South Wind, a Young People Player's Company Production adapted from the Korean folktale by Jeffryn Stephens",Theater programs; Children's theater; Playbills,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav5,https://github.com/chrkav/ArchivesCollection/blob/main/onceuponanislandprogramcoveryppc.png,,,Program - Once Upon an Island,"Kavanagh, Christa",2024-03-01,"Program cover for Once Upon an Island, a Young People Player's Company Production, written by Jeffryn Stephens",Theater programs; Children's theater; Playbills,,,,,,,image/png,,,http://rightsstatements.org/vocab/InC-EDU/1.0/
colkav6,,,,,,,,,,,,,,,,,,
colkav7,,,,,,,,,,,,,,,,,,
colkav8,,,,,,,,,,,,,,,,,,
colkav9,,,,,,,,,,,,,,,,,,
colkav10,,,,,,,,,,,,,,,,,,